avg_detection_time,0.060286389616003196
max_detection_time,0.31296539306640625
min_detection_time,0.005031108856201172
avg_fps,16.58749190936037
total_detections,898
avg_detections_per_frame,0.4904423812124522
detection_classes_distribution,{"2": 789, "3": 1, "11": 104, "7": 2, "9": 2}
avg_confidence,0.7149866973371442
total_warnings,897
warning_types_distribution,{"car": 789, "stop sign": 104, "truck": 2, "traffic light": 2}
warning_severities,{"HIGH": 104, "MEDIUM": 2, "LOW": 791}
total_runtime_seconds,408.331339
class_precision,{"2": 1.0, "3": 1.0, "7": 1.0, "9": 1.0, "11": 1.0}
class_avg_confidence,{"2": 0.7131871583721635, "3": 0.8614991307258606, "11": 0.7407166244837204, "7": 0.44445693492889404, "9": 0.5390424132347107}
distance_detection_rates,{"pr\u00f3ximo": 1.0, "m\u00e9dio": 1.0, "distante": 1.0}
current_weather_id,1
current_weather_name,"CLEARNOON"
detection_time_confidence_interval,[0.05778411284586961, 0.06278866638613678]
detection_time_confidence_level,0.95
detection_time_ci_lower,0.057717127073403596
detection_time_ci_upper,0.06271487178208722
detection_time_hypothesis_test,{"null_hypothesis": "Average detection time = 0.1s", "alternative": "Average detection time \u2260 0.1s", "t_statistic": -31.127156730096864, "p_value": 4.46551387663482e-171, "significant": true, "conclusion": "Reject null hypothesis"}
statistical_power,1.0
confidence_response_correlation,{"correlation_coefficient": NaN, "p_value": NaN, "significant": false, "interpretation": "Strong positive correlation"}
